Snapshot ID;Snapshot Time;Linked context ID
1021;2014-03-18 13:57:36.107;23

Attributes;Write Value;Read Value;DELTA
I11-MA-C00/EX/TC.1/temperature;;21.70;
I11-MA-C04/DT/XBPM_DIODE.1/horizontalPosition;;0.0810;
I11-MA-C04/DT/XBPM_DIODE.1/intensity;;0.2440;
I11-MA-C04/DT/XBPM_DIODE.1/quadrant1;;0.061694;
I11-MA-C04/DT/XBPM_DIODE.1/quadrant2;;0.061418;
I11-MA-C04/DT/XBPM_DIODE.1/quadrant3;;0.066688;
I11-MA-C04/DT/XBPM_DIODE.1/quadrant4;;0.054178;
I11-MA-C04/DT/XBPM_DIODE.1/verticalPosition;;-0.9430;
I11-MA-C04/EX/TC.1/temperature;;21.3;
I11-MA-C05/DT/XBPM_DIODE.3/horizontalPosition;;1.1262e-01;
I11-MA-C05/DT/XBPM_DIODE.3/intensity;;7.92270;
I11-MA-C05/DT/XBPM_DIODE.3/quadrant1;;1.8891;
I11-MA-C05/DT/XBPM_DIODE.3/quadrant2;;2.3686;
I11-MA-C05/DT/XBPM_DIODE.3/quadrant3;;1.4841;
I11-MA-C05/DT/XBPM_DIODE.3/quadrant4;;2.1809;
I11-MA-C05/DT/XBPM_DIODE.3/verticalPosition;;-1.9013e-01;
I11-MA-C05/EX/TC.1/temperature;;21.9;
I11-MA-C06/DT/XBPM_DIODE.5/horizontalPosition;;2.2226e-01;
I11-MA-C06/DT/XBPM_DIODE.5/intensity;;0.241213;
I11-MA-C06/DT/XBPM_DIODE.5/quadrant1;;0.0628;
I11-MA-C06/DT/XBPM_DIODE.5/quadrant2;;0.0619;
I11-MA-C06/DT/XBPM_DIODE.5/quadrant3;;0.0572;
I11-MA-C06/DT/XBPM_DIODE.5/quadrant4;;0.0593;
I11-MA-C06/DT/XBPM_DIODE.5/verticalPosition;;-7.5005e-01;
I11-MA-C06/EX/TC.1/temperature;;21.7;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom1_X;322.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom1_Z;246.00;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom10_X;321.00;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom10_Z;237.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom2_X;322.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom2_Z;245.00;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom3_X;322.00;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom3_Z;245.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom4_X;322.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom4_Z;245.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom5_X;322.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom5_Z;244.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom6_X;321.00;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom6_Z;243.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom7_X;321.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom7_Z;242.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom8_X;320.50;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom8_Z;241.00;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom9_X;322.00;;
I11-MA-CX1/EX/MD2-BEAMPOSITION/Zoom9_Z;240.00;;
I11-MA-CX1/EX/TC.1/temperature;;22.1;
I11-MA-CX1/EX/TC.2/temperature;;22.0;
PASSERELLE/EH/MD2/Aperture_100um_X;-0.1202;;
PASSERELLE/EH/MD2/Aperture_100um_Z;93.1517;;
PASSERELLE/EH/MD2/Aperture_10um_X;-0.12;;
PASSERELLE/EH/MD2/Aperture_10um_Z;96.76;;
PASSERELLE/EH/MD2/Aperture_20um_X;-0.1399;;
PASSERELLE/EH/MD2/Aperture_20um_Z;95.5705;;
PASSERELLE/EH/MD2/Aperture_50um_X;-0.1415;;
PASSERELLE/EH/MD2/Aperture_50um_Z;94.3677;;
TDL-I11-MA/DG/XBPM.1/xPos;;-1.7532e-02;
TDL-I11-MA/DG/XBPM.1/zPos;;3.7571e-03;
TDL-I11-MA/DG/XBPM.2/xPos;;-6.6747e-03;
TDL-I11-MA/DG/XBPM.2/zPos;;-6.9663e-03;
